MANDT,KURST,FCURR,TCURR,GDATU,UKURS,FFACT,TFACT
800,G,SEK,EUR,79849892,9.39240-,1,1
800,B,SAR,EUR,79858768,4.56150-,1,1
800,B,SAR,EUR,79849897,4.52670-,1,1
800,B,SAR,EUR,79849894,4.46990-,1,1
800,B,SAR,EUR,79849893,4.46400-,1,1
800,B,SAR,EUR,79849892,4.43880-,1,1
800,B,SAR,EUR,79849891,4.42250-,1,1
800,G,SAR,EUR,79858768,4.56050-,1,1
800,G,SAR,EUR,79849897,4.52470-,1,1
800,G,SAR,EUR,79849894,4.46760-,1,1
800,G,SAR,EUR,79849893,4.46290-,1,1
800,G,SAR,EUR,79849892,4.43740-,1,1
800,G,SAR,EUR,79849891,4.42020-,1,1
800,B,PLN,EUR,79858768,4.28200-,1,1
800,B,PLN,EUR,79849897,4.30610-,1,1
800,B,PLN,EUR,79849894,4.30430-,1,1
800,B,PLN,EUR,79849893,4.30300-,1,1
800,B,PLN,EUR,79849892,4.31300-,1,1
800,B,PLN,EUR,79849891,4.29000-,1,1
800,G,PLN,EUR,79858768,4.27900-,1,1
800,G,PLN,EUR,79849897,4.30220-,1,1
800,G,PLN,EUR,79849894,4.30230-,1,1
800,G,PLN,EUR,79849893,4.30000-,1,1
800,G,PLN,EUR,79849892,4.31100-,1,1
800,G,PLN,EUR,79849891,4.28800-,1,1
800,B,NOK,EUR,79858768,9.02300-,1,1
800,B,NOK,EUR,79849897,9.05170-,1,1
800,B,NOK,EUR,79849894,9.13810-,1,1
800,B,NOK,EUR,79849893,9.18910-,1,1
800,B,NOK,EUR,79849892,9.20420-,1,1
800,B,NOK,EUR,79849891,9.03480-,1,1
800,G,NOK,EUR,79858768,9.01900-,1,1
800,G,NOK,EUR,79849897,9.04920-,1,1
800,G,NOK,EUR,79849894,9.13410-,1,1
800,G,NOK,EUR,79849893,9.18240-,1,1
800,G,NOK,EUR,79849892,9.19920-,1,1
800,G,NOK,EUR,79849891,9.02880-,1,1
800,B,HKD,EUR,79858769,0.78320-,1,1
800,B,HKD,EUR,79858768,0.77900-,1,1
800,B,HKD,EUR,79849897,0.78110-,1,1
800,B,HKD,EUR,79849894,0.78070-,1,1
800,B,HKD,EUR,79849893,0.78300-,1,1
800,B,HKD,EUR,79849892,0.78180-,1,1
800,G,HKD,EUR,79858768,0.77850-,1,1
800,G,HKD,EUR,79849897,0.78050-,1,1
800,G,HKD,EUR,79849894,0.78020-,1,1
800,G,HKD,EUR,79849893,0.78250-,1,1
800,G,HKD,EUR,79849892,0.78170-,1,1
800,B,AED,EUR,79858768,4.46470-,1,1
800,B,AED,EUR,79849897,4.42790-,1,1
